# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
wound_swab vs. wound_swab	Unknown3 vs. diabetic_skin_contra	7.16886196441	1.68531855138e-12	2.29708918553e-09	N/A	N/A
wound_swab vs. wound_swab	Unknown3 vs. wound_deb	2.23506719143	0.0256854961531	1	N/A	N/A
wound_swab vs. wound_swab	Unknown3 vs. control_skin_left	7.41630474452	3.00426350464e-13	4.09481115682e-10	N/A	N/A
wound_swab vs. wound_swab	Unknown vs. Positive_4	0.294226638843	[ 0.76866311]	1	N/A	N/A
wound_swab vs. wound_swab	Unknown vs. Positive_3	0.240148179242	[ 0.81027856]	1	N/A	N/A
wound_swab vs. wound_swab	Unknown vs. control_skin_right	5.96291350267	3.68725161515e-09	5.02572395145e-06	N/A	N/A
wound_swab vs. wound_swab	Unknown vs. wound_swab	2.43768388928	0.014993706873	1	N/A	N/A
wound_swab vs. wound_swab	Unknown vs. diabetic_skin_contra	5.76054692956	1.18466751964e-08	1.61470182927e-05	N/A	N/A
wound_swab vs. wound_swab	Unknown vs. wound_deb	1.88192376248	0.0602055770132	1	N/A	N/A
wound_swab vs. wound_swab	Unknown vs. control_skin_left	6.51306159239	1.28228982987e-10	1.74776103812e-07	N/A	N/A
wound_swab vs. wound_swab	Positive_4 vs. Positive_3	-2.09569137004	[ 0.03643178]	1	N/A	N/A
wound_swab vs. wound_swab	Positive_4 vs. control_skin_right	-4.48313196355	8.40784821272e-06	0.0114598971139	N/A	N/A
wound_swab vs. wound_swab	Positive_4 vs. wound_swab	-2.15825151475	0.0311986174105	1	N/A	N/A
wound_swab vs. wound_swab	Positive_4 vs. diabetic_skin_contra	-4.34261487608	1.58377693002e-05	0.0215868795561	N/A	N/A
wound_swab vs. wound_swab	Positive_4 vs. wound_deb	-1.73760309115	0.0826617916474	1	N/A	N/A
wound_swab vs. wound_swab	Positive_4 vs. control_skin_left	-4.69602967923	3.10833166224e-06	0.00423665605564	N/A	N/A
wound_swab vs. wound_swab	Positive_3 vs. control_skin_right	-4.15209322155	3.6411155421e-05	0.0496284048388	N/A	N/A
wound_swab vs. wound_swab	Positive_3 vs. wound_swab	-1.8423962206	0.0657789616308	1	N/A	N/A
wound_swab vs. wound_swab	Positive_3 vs. diabetic_skin_contra	-3.99077273421	7.17409658004e-05	0.0977829363859	N/A	N/A
wound_swab vs. wound_swab	Positive_3 vs. wound_deb	-1.46692702795	0.142785003082	1	N/A	N/A
wound_swab vs. wound_swab	Positive_3 vs. control_skin_left	-4.3436149522	1.57696531835e-05	0.0214940372891	N/A	N/A
wound_swab vs. wound_swab	control_skin_right vs. wound_swab	5.41048637265	6.93729305112e-08	9.45553042868e-05	N/A	N/A
wound_swab vs. wound_swab	control_skin_right vs. diabetic_skin_contra	23.3412771194	0.0	0.0	N/A	N/A
wound_swab vs. wound_swab	control_skin_right vs. wound_deb	3.40703317719	0.000670289134927	0.913604090906	N/A	N/A
wound_swab vs. wound_swab	control_skin_right vs. control_skin_left	26.9700161117	0.0	0.0	N/A	N/A
wound_swab vs. wound_swab	wound_swab vs. diabetic_skin_contra	5.73651422452	1.08111430919e-08	1.47355880342e-05	N/A	N/A
wound_swab vs. wound_swab	wound_swab vs. wound_deb	-0.0121154241159	0.990334748421	1	N/A	N/A
wound_swab vs. wound_swab	wound_swab vs. control_skin_left	4.74382860739	2.21527611322e-06	0.00301942134231	N/A	N/A
wound_swab vs. wound_swab	diabetic_skin_contra vs. wound_deb	3.69323667099	0.000227077620348	0.309506796534	N/A	N/A
wound_swab vs. wound_swab	diabetic_skin_contra vs. control_skin_left	23.2291909736	0.0	0.0	N/A	N/A
wound_swab vs. wound_swab	wound_deb vs. control_skin_left	2.75244369459	0.00596688669774	1	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	wound_deb vs. wound_deb	-17.4766970869	6.17732507283e-62	8.41969407427e-59	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	control_skin_left vs. control_skin_left	3.25727914857	0.00114525135046	1	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	diabetic_skin_adj vs. Unknown3	4.29368083517	1.92985938476e-05	0.0263039834143	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	diabetic_skin_adj vs. Unknown	0.355389202164	0.722373588104	1	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	diabetic_skin_adj vs. Positive_4	-13.3325696123	2.01638496442e-37	2.74833270651e-34	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	diabetic_skin_adj vs. Positive_3	-12.8576381333	4.17487278671e-35	5.69035160828e-32	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	diabetic_skin_adj vs. control_skin_right	4.1549646153	3.35197050385e-05	0.0456873579675	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	diabetic_skin_adj vs. wound_swab	-11.238682513	1.04074665732e-28	1.41853769393e-25	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	diabetic_skin_adj vs. diabetic_skin_contra	4.2006106137	2.73808476123e-05	0.0373200952956	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	diabetic_skin_adj vs. wound_deb	-12.9899804273	2.4997006753e-37	3.40709202044e-34	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	diabetic_skin_adj vs. control_skin_left	2.02731898605	0.0427178137606	1	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	Unknown3 vs. Unknown	-0.739841468334	[ 0.45957994]	1	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	Unknown3 vs. Positive_4	1.91388455047	[ 0.05593673]	1	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	Unknown3 vs. Positive_3	1.84247711715	[ 0.0657185]	1	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	Unknown3 vs. control_skin_right	3.37660935679	0.000762630332582	1	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	Unknown3 vs. wound_swab	-2.25862556593	0.0241249434594	1	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	Unknown3 vs. diabetic_skin_contra	2.80218340076	0.00517502097642	1	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	Unknown3 vs. wound_deb	-2.45792972852	0.0141472936385	1	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	Unknown3 vs. control_skin_left	3.20262101531	0.00140540396521	1	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	Unknown vs. Positive_4	1.39203525171	[ 0.16423923]	1	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	Unknown vs. Positive_3	1.32092937469	[ 0.18684468]	1	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	Unknown vs. control_skin_right	1.65298920173	0.0986526989571	1	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	Unknown vs. wound_swab	-3.08641823027	0.00208251037912	1	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	Unknown vs. diabetic_skin_contra	0.924084359106	0.35566802546	1	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	Unknown vs. wound_deb	-2.97992174652	0.00295480813956	1	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	Unknown vs. control_skin_left	1.98365438702	0.0475711064333	1	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	Positive_4 vs. Positive_3	-1.75038443422	[ 0.08037651]	1	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	Positive_4 vs. control_skin_right	-12.0824368775	1.96158064795e-31	2.67363442316e-28	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	Positive_4 vs. wound_swab	-9.00360780287	1.10652754306e-18	1.50819704119e-15	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	Positive_4 vs. diabetic_skin_contra	-12.3442848871	1.16382073216e-32	1.58628765793e-29	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	Positive_4 vs. wound_deb	-7.68102202214	3.83588161505e-14	5.22830664132e-11	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	Positive_4 vs. control_skin_left	-12.7531102435	1.36334540166e-34	1.85823978246e-31	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	Positive_3 vs. control_skin_right	-11.6473154486	1.85031838272e-29	2.52198395565e-26	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	Positive_3 vs. wound_swab	-8.59182440132	3.31798713653e-17	4.52241646709e-14	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	Positive_3 vs. diabetic_skin_contra	-11.88224004	1.57177587474e-30	2.14233051727e-27	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	Positive_3 vs. wound_deb	-7.32799949284	4.8995157318e-13	6.67803994244e-10	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	Positive_3 vs. control_skin_left	-12.2899548089	2.09695537839e-32	2.85815018075e-29	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	control_skin_right vs. wound_swab	-15.5535296294	4.1636928375e-52	5.67511333752e-49	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	control_skin_right vs. diabetic_skin_contra	1.24309073604	0.213945798653	1	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	control_skin_right vs. wound_deb	-16.4415548669	3.29235332305e-57	4.48747757931e-54	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	control_skin_right vs. control_skin_left	4.86204263125	1.23161960053e-06	0.00167869751552	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	wound_swab vs. diabetic_skin_contra	-15.14148411	8.94759201519e-50	1.21955679167e-46	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	wound_swab vs. wound_deb	-19.0677454994	5.32651323479e-75	7.26003753901e-72	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	wound_swab vs. control_skin_left	-17.178806623	8.18412284082e-63	1.1154959432e-59	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	diabetic_skin_contra vs. wound_deb	-16.3125368245	1.20325176084e-56	1.64003215002e-53	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	diabetic_skin_contra vs. control_skin_left	0.305530404451	0.759984640005	1	N/A	N/A
diabetic_skin_contra vs. diabetic_skin_contra	wound_deb vs. control_skin_left	-18.0326875686	5.64543489857e-68	7.69472776675e-65	N/A	N/A
wound_deb vs. wound_deb	control_skin_left vs. control_skin_left	21.5871376184	0.0	0.0	N/A	N/A
wound_deb vs. wound_deb	diabetic_skin_adj vs. Unknown3	8.99682201755	0.0	0.0	N/A	N/A
wound_deb vs. wound_deb	diabetic_skin_adj vs. Unknown	6.10574730709	2.11047401777e-09	2.87657608622e-06	N/A	N/A
wound_deb vs. wound_deb	diabetic_skin_adj vs. Positive_4	-4.12702598995	4.33132241354e-05	0.0590359244965	N/A	N/A
wound_deb vs. wound_deb	diabetic_skin_adj vs. Positive_3	-3.77256759455	0.000181721645441	0.247686602736	N/A	N/A
wound_deb vs. wound_deb	diabetic_skin_adj vs. control_skin_right	23.7271863823	0.0	0.0	N/A	N/A
wound_deb vs. wound_deb	diabetic_skin_adj vs. wound_swab	8.38848978203	2.22044604925e-16	3.02646796513e-13	N/A	N/A
wound_deb vs. wound_deb	diabetic_skin_adj vs. diabetic_skin_contra	22.4490385729	0.0	0.0	N/A	N/A
wound_deb vs. wound_deb	diabetic_skin_adj vs. wound_deb	6.45065227942	1.41383127428e-10	1.92705202684e-07	N/A	N/A
wound_deb vs. wound_deb	diabetic_skin_adj vs. control_skin_left	22.4901344003	0.0	0.0	N/A	N/A
wound_deb vs. wound_deb	Unknown3 vs. Unknown	-1.39714756655	[ 0.16308309]	1	N/A	N/A
wound_deb vs. wound_deb	Unknown3 vs. Positive_4	0.584904449502	[ 0.55891592]	1	N/A	N/A
wound_deb vs. wound_deb	Unknown3 vs. Positive_3	0.53157066667	[ 0.59529535]	1	N/A	N/A
wound_deb vs. wound_deb	Unknown3 vs. control_skin_right	7.66354546567	1.0413891971e-13	1.41941347565e-10	N/A	N/A
wound_deb vs. wound_deb	Unknown3 vs. wound_swab	3.48875820509	0.000530637216567	0.72325852618	N/A	N/A
wound_deb vs. wound_deb	Unknown3 vs. diabetic_skin_contra	7.61407895085	1.43440814782e-13	1.95509830547e-10	N/A	N/A
wound_deb vs. wound_deb	Unknown3 vs. wound_deb	2.6683866749	0.00788911069154	1	N/A	N/A
wound_deb vs. wound_deb	Unknown3 vs. control_skin_left	7.84765466303	2.81996648255e-14	3.84361431571e-11	N/A	N/A
wound_deb vs. wound_deb	Unknown vs. Positive_4	0.195138344277	[ 0.84537597]	1	N/A	N/A
wound_deb vs. wound_deb	Unknown vs. Positive_3	0.142029792034	[ 0.88712238]	1	N/A	N/A
wound_deb vs. wound_deb	Unknown vs. control_skin_right	6.4262199353	3.20828030809e-10	4.37288605992e-07	N/A	N/A
wound_deb vs. wound_deb	Unknown vs. wound_swab	2.96403776098	0.003189542225	1	N/A	N/A
wound_deb vs. wound_deb	Unknown vs. diabetic_skin_contra	6.26572350031	8.30166824173e-10	1.13151738135e-06	N/A	N/A
wound_deb vs. wound_deb	Unknown vs. wound_deb	2.3453922146	0.0194283063985	1	N/A	N/A
wound_deb vs. wound_deb	Unknown vs. control_skin_left	7.0007870966	8.7057028253e-12	1.18658729509e-08	N/A	N/A
wound_deb vs. wound_deb	Positive_4 vs. Positive_3	-2.15191603498	[ 0.03195493]	1	N/A	N/A
wound_deb vs. wound_deb	Positive_4 vs. control_skin_right	-3.82316552938	0.000149448162694	0.203697845752	N/A	N/A
wound_deb vs. wound_deb	Positive_4 vs. wound_swab	-1.51692344871	0.129954038001	1	N/A	N/A
wound_deb vs. wound_deb	Positive_4 vs. diabetic_skin_contra	-3.63721136146	0.000305635735698	0.416581507757	N/A	N/A
wound_deb vs. wound_deb	Positive_4 vs. wound_deb	-1.18835612848	0.235302321396	1	N/A	N/A
wound_deb vs. wound_deb	Positive_4 vs. control_skin_left	-3.99464509646	7.50482103612e-05	0.102290710722	N/A	N/A
wound_deb vs. wound_deb	Positive_3 vs. control_skin_right	-3.49820676356	0.000512841061532	0.699002366869	N/A	N/A
wound_deb vs. wound_deb	Positive_3 vs. wound_swab	-1.21087424026	0.226548274812	1	N/A	N/A
wound_deb vs. wound_deb	Positive_3 vs. diabetic_skin_contra	-3.29234152783	0.00106732169538	1	N/A	N/A
wound_deb vs. wound_deb	Positive_3 vs. wound_deb	-0.924916209996	0.355491298277	1	N/A	N/A
wound_deb vs. wound_deb	Positive_3 vs. control_skin_left	-3.64877826127	0.000292621859887	0.398843595026	N/A	N/A
wound_deb vs. wound_deb	control_skin_right vs. wound_swab	6.33235559141	2.98793434439e-10	4.0725545114e-07	N/A	N/A
wound_deb vs. wound_deb	control_skin_right vs. diabetic_skin_contra	22.0196506352	0.0	0.0	N/A	N/A
wound_deb vs. wound_deb	control_skin_right vs. wound_deb	4.61965761443	4.15704955814e-06	0.00566605854774	N/A	N/A
wound_deb vs. wound_deb	control_skin_right vs. control_skin_left	25.4315237716	0.0	0.0	N/A	N/A
wound_deb vs. wound_deb	wound_swab vs. diabetic_skin_contra	6.52467853131	8.43656255967e-11	1.14990347688e-07	N/A	N/A
wound_deb vs. wound_deb	wound_swab vs. wound_deb	1.64907657598	0.0993242870662	1	N/A	N/A
wound_deb vs. wound_deb	wound_swab vs. control_skin_left	5.84036588298	6.00007799001e-09	8.17810630038e-06	N/A	N/A
wound_deb vs. wound_deb	diabetic_skin_contra vs. wound_deb	4.8271327463	1.50537318833e-06	0.00205182365569	N/A	N/A
wound_deb vs. wound_deb	diabetic_skin_contra vs. control_skin_left	21.8106197134	0.0	0.0	N/A	N/A
wound_deb vs. wound_deb	wound_deb vs. control_skin_left	4.13399454103	3.73644218252e-05	0.0509277069478	N/A	N/A
control_skin_left vs. control_skin_left	diabetic_skin_adj vs. Unknown3	4.16027186654	3.4670223471e-05	0.047255514591	N/A	N/A
control_skin_left vs. control_skin_left	diabetic_skin_adj vs. Unknown	-0.743502577849	0.457361488478	1	N/A	N/A
control_skin_left vs. control_skin_left	diabetic_skin_adj vs. Positive_4	-17.7904465567	2.52468839793e-61	3.44115028638e-58	N/A	N/A
control_skin_left vs. control_skin_left	diabetic_skin_adj vs. Positive_3	-17.1987886893	6.48835363779e-58	8.84362600831e-55	N/A	N/A
control_skin_left vs. control_skin_left	diabetic_skin_adj vs. control_skin_right	0.579891937734	0.562035434107	1	N/A	N/A
control_skin_left vs. control_skin_left	diabetic_skin_adj vs. wound_swab	-14.3907511243	2.29809737512e-45	3.13230672229e-42	N/A	N/A
control_skin_left vs. control_skin_left	diabetic_skin_adj vs. diabetic_skin_contra	0.819078031409	0.412806675001	1	N/A	N/A
control_skin_left vs. control_skin_left	diabetic_skin_adj vs. wound_deb	-16.2078254351	4.46715555242e-56	6.08873301794e-53	N/A	N/A
control_skin_left vs. control_skin_left	diabetic_skin_adj vs. control_skin_left	-1.71657801568	0.0861607474693	1	N/A	N/A
control_skin_left vs. control_skin_left	Unknown3 vs. Unknown	-0.752152815525	[ 0.45215539]	1	N/A	N/A
control_skin_left vs. control_skin_left	Unknown3 vs. Positive_4	2.56188489841	[ 0.01057205]	1	N/A	N/A
control_skin_left vs. control_skin_left	Unknown3 vs. Positive_3	2.47270955573	[ 0.0135927]	1	N/A	N/A
control_skin_left vs. control_skin_left	Unknown3 vs. control_skin_right	3.1489721854	0.00169022463368	1	N/A	N/A
control_skin_left vs. control_skin_left	Unknown3 vs. wound_swab	-3.8126633231	0.000146426313876	0.199579065813	N/A	N/A
control_skin_left vs. control_skin_left	Unknown3 vs. diabetic_skin_contra	2.35605583848	0.0186735331551	1	N/A	N/A
control_skin_left vs. control_skin_left	Unknown3 vs. wound_deb	-3.93084276938	9.09195173561e-05	0.123923302156	N/A	N/A
control_skin_left vs. control_skin_left	Unknown3 vs. control_skin_left	2.8652127354	0.00425976426944	1	N/A	N/A
control_skin_left vs. control_skin_left	Unknown vs. Positive_4	1.91018677855	[ 0.05642605]	1	N/A	N/A
control_skin_left vs. control_skin_left	Unknown vs. Positive_3	1.82138802673	[ 0.06887902]	1	N/A	N/A
control_skin_left vs. control_skin_left	Unknown vs. control_skin_right	1.00634453295	0.31450911555	1	N/A	N/A
control_skin_left vs. control_skin_left	Unknown vs. wound_swab	-4.8902077579	1.18415429764e-06	0.00161400230769	N/A	N/A
control_skin_left vs. control_skin_left	Unknown vs. diabetic_skin_contra	0.0190427796601	0.984810998111	1	N/A	N/A
control_skin_left vs. control_skin_left	Unknown vs. wound_deb	-4.62094041001	4.35795309027e-06	0.00593989006204	N/A	N/A
control_skin_left vs. control_skin_left	Unknown vs. control_skin_left	1.35154246244	0.176845499861	1	N/A	N/A
control_skin_left vs. control_skin_left	Positive_4 vs. Positive_3	-2.01414349458	[ 0.04429093]	1	N/A	N/A
control_skin_left vs. control_skin_left	Positive_4 vs. control_skin_right	-16.1355525368	7.01262175228e-52	9.55820344836e-49	N/A	N/A
control_skin_left vs. control_skin_left	Positive_4 vs. wound_swab	-12.1015424348	1.95581522175e-31	2.66577614724e-28	N/A	N/A
control_skin_left vs. control_skin_left	Positive_4 vs. diabetic_skin_contra	-16.5092652034	5.4397691954e-54	7.41440541333e-51	N/A	N/A
control_skin_left vs. control_skin_left	Positive_4 vs. wound_deb	-10.4015652319	4.7726091795e-24	6.50506631166e-21	N/A	N/A
control_skin_left vs. control_skin_left	Positive_4 vs. control_skin_left	-17.0345485721	6.08181771989e-57	8.28951755221e-54	N/A	N/A
control_skin_left vs. control_skin_left	Positive_3 vs. control_skin_right	-15.5925360517	6.4238379644e-49	8.75569114548e-46	N/A	N/A
control_skin_left vs. control_skin_left	Positive_3 vs. wound_swab	-11.595935962	3.72465142864e-29	5.07669989723e-26	N/A	N/A
control_skin_left vs. control_skin_left	Positive_3 vs. diabetic_skin_contra	-15.9337289349	8.29578551163e-51	1.13071556523e-47	N/A	N/A
control_skin_left vs. control_skin_left	Positive_3 vs. wound_deb	-9.96668468497	2.66485682219e-22	3.63219984864e-19	N/A	N/A
control_skin_left vs. control_skin_left	Positive_3 vs. control_skin_left	-16.4567108433	1.08455958779e-53	1.47825471816e-50	N/A	N/A
control_skin_left vs. control_skin_left	control_skin_right vs. wound_swab	-19.3297398699	1.56359557671e-77	2.13118077106e-74	N/A	N/A
control_skin_left vs. control_skin_left	control_skin_right vs. diabetic_skin_contra	-2.56919028359	0.0102495248731	1	N/A	N/A
control_skin_left vs. control_skin_left	control_skin_right vs. wound_deb	-20.2853856894	1.70957780521e-83	2.3301545485e-80	N/A	N/A
control_skin_left vs. control_skin_left	control_skin_right vs. control_skin_left	1.16680803906	0.243397648505	1	N/A	N/A
control_skin_left vs. control_skin_left	wound_swab vs. diabetic_skin_contra	-18.7046250976	1.90273685212e-73	2.59343032944e-70	N/A	N/A
control_skin_left vs. control_skin_left	wound_swab vs. wound_deb	-22.5237361449	8.26163318996e-101	1.12606060379e-97	N/A	N/A
control_skin_left vs. control_skin_left	wound_swab vs. control_skin_left	-21.0717166203	3.48254397541e-91	4.74670743848e-88	N/A	N/A
control_skin_left vs. control_skin_left	diabetic_skin_contra vs. wound_deb	-19.9759143721	8.87021582708e-82	1.20901041723e-78	N/A	N/A
control_skin_left vs. control_skin_left	diabetic_skin_contra vs. control_skin_left	-3.63976291631	0.000277837653435	0.378692721632	N/A	N/A
control_skin_left vs. control_skin_left	wound_deb vs. control_skin_left	-21.997372345	4.60296986353e-97	6.273847924e-94	N/A	N/A
diabetic_skin_adj vs. Unknown3	diabetic_skin_adj vs. Unknown	-6.28222569445	1.03071501728e-08	1.40486456855e-05	N/A	N/A
diabetic_skin_adj vs. Unknown3	diabetic_skin_adj vs. Positive_4	-25.2411472889	1.18333340805e-43	1.61288343517e-40	N/A	N/A
diabetic_skin_adj vs. Unknown3	diabetic_skin_adj vs. Positive_3	-24.5577160802	1.1159811327e-42	1.52108228387e-39	N/A	N/A
diabetic_skin_adj vs. Unknown3	diabetic_skin_adj vs. control_skin_right	-3.46956877167	0.00053311415884	0.726634598499	N/A	N/A
diabetic_skin_adj vs. Unknown3	diabetic_skin_adj vs. wound_swab	-6.15153399027	9.27215569222e-10	1.26379482085e-06	N/A	N/A
diabetic_skin_adj vs. Unknown3	diabetic_skin_adj vs. diabetic_skin_contra	-3.00980228506	0.00264445676448	1	N/A	N/A
diabetic_skin_adj vs. Unknown3	diabetic_skin_adj vs. wound_deb	-6.64338388998	4.28918025703e-11	5.84615269033e-08	N/A	N/A
diabetic_skin_adj vs. Unknown3	diabetic_skin_adj vs. control_skin_left	-4.04297649957	5.46717721534e-05	0.074517625445	N/A	N/A
diabetic_skin_adj vs. Unknown3	Unknown3 vs. Unknown	-0.198096095906	[ 0.84382423]	1	N/A	N/A
diabetic_skin_adj vs. Unknown3	Unknown3 vs. Positive_4	4.37092432613	[  6.79625755e-05]	[ 0.09263299]	N/A	N/A
diabetic_skin_adj vs. Unknown3	Unknown3 vs. Positive_3	4.24797944832	[ 0.00010117]	[ 0.13788869]	N/A	N/A
diabetic_skin_adj vs. Unknown3	Unknown3 vs. control_skin_right	-0.519470790113	0.604798614793	1	N/A	N/A
diabetic_skin_adj vs. Unknown3	Unknown3 vs. wound_swab	-5.15727834174	1.58392977742e-06	0.00215889628662	N/A	N/A
diabetic_skin_adj vs. Unknown3	Unknown3 vs. diabetic_skin_contra	-1.46704140283	0.145850584009	1	N/A	N/A
diabetic_skin_adj vs. Unknown3	Unknown3 vs. wound_deb	-5.17794359591	1.78147467046e-06	0.00242814997583	N/A	N/A
diabetic_skin_adj vs. Unknown3	Unknown3 vs. control_skin_left	-0.953781745801	0.342777468283	1	N/A	N/A
diabetic_skin_adj vs. Unknown3	Unknown vs. Positive_4	3.47243665771	[ 0.00111753]	1	N/A	N/A
diabetic_skin_adj vs. Unknown3	Unknown vs. Positive_3	3.35001098078	[ 0.00160037]	1	N/A	N/A
diabetic_skin_adj vs. Unknown3	Unknown vs. control_skin_right	-3.35540526148	0.00119150018323	1	N/A	N/A
diabetic_skin_adj vs. Unknown3	Unknown vs. wound_swab	-7.76214943207	1.59734257977e-11	2.17717793622e-08	N/A	N/A
diabetic_skin_adj vs. Unknown3	Unknown vs. diabetic_skin_contra	-4.57970305682	1.48954364272e-05	0.0203024798503	N/A	N/A
diabetic_skin_adj vs. Unknown3	Unknown vs. wound_deb	-7.3154970774	2.22331975533e-10	3.03038482652e-07	N/A	N/A
diabetic_skin_adj vs. Unknown3	Unknown vs. control_skin_left	-3.15144794989	0.00221378208484	1	N/A	N/A
diabetic_skin_adj vs. Unknown3	Positive_4 vs. Positive_3	-1.93798612817	[ 0.0586454]	1	N/A	N/A
diabetic_skin_adj vs. Unknown3	Positive_4 vs. control_skin_right	-26.0303615303	5.63567495654e-42	7.68142496577e-39	N/A	N/A
diabetic_skin_adj vs. Unknown3	Positive_4 vs. wound_swab	-10.9725519161	4.99127742279e-18	6.80311112727e-15	N/A	N/A
diabetic_skin_adj vs. Unknown3	Positive_4 vs. diabetic_skin_contra	-23.5745571051	2.77435861316e-40	3.78145078974e-37	N/A	N/A
diabetic_skin_adj vs. Unknown3	Positive_4 vs. wound_deb	-10.8901128483	3.53255013066e-17	4.81486582809e-14	N/A	N/A
diabetic_skin_adj vs. Unknown3	Positive_4 vs. control_skin_left	-26.905385341	1.59158045979e-44	2.16932416669e-41	N/A	N/A
diabetic_skin_adj vs. Unknown3	Positive_3 vs. control_skin_right	-25.3193960862	4.44951586718e-41	6.06469012696e-38	N/A	N/A
diabetic_skin_adj vs. Unknown3	Positive_3 vs. wound_swab	-10.6263070102	2.47235658053e-17	3.36982201926e-14	N/A	N/A
diabetic_skin_adj vs. Unknown3	Positive_3 vs. diabetic_skin_contra	-22.9156631971	2.48104655525e-39	3.38166645481e-36	N/A	N/A
diabetic_skin_adj vs. Unknown3	Positive_3 vs. wound_deb	-10.5759254842	1.36476887651e-16	1.86017997869e-13	N/A	N/A
diabetic_skin_adj vs. Unknown3	Positive_3 vs. control_skin_left	-26.1654984065	1.44539379353e-43	1.97007174058e-40	N/A	N/A
diabetic_skin_adj vs. Unknown3	control_skin_right vs. wound_swab	-7.8869594416	5.7626432379e-15	7.85448273326e-12	N/A	N/A
diabetic_skin_adj vs. Unknown3	control_skin_right vs. diabetic_skin_contra	-4.50773124413	6.99522226951e-06	0.00953448795334	N/A	N/A
diabetic_skin_adj vs. Unknown3	control_skin_right vs. wound_deb	-8.19362451966	6.50856463166e-16	8.87117359295e-13	N/A	N/A
diabetic_skin_adj vs. Unknown3	control_skin_right vs. control_skin_left	-3.75080063161	0.000182251425877	0.24840869347	N/A	N/A
diabetic_skin_adj vs. Unknown3	wound_swab vs. diabetic_skin_contra	-7.52665546724	8.16814788856e-14	1.11331855721e-10	N/A	N/A
diabetic_skin_adj vs. Unknown3	wound_swab vs. wound_deb	-8.28490004317	3.02185578844e-16	4.11878943965e-13	N/A	N/A
diabetic_skin_adj vs. Unknown3	wound_swab vs. control_skin_left	-8.37727442725	1.08929983059e-16	1.48471566909e-13	N/A	N/A
diabetic_skin_adj vs. Unknown3	diabetic_skin_contra vs. wound_deb	-7.92443306422	4.72097773737e-15	6.43469265603e-12	N/A	N/A
