OTU	Test-Statistic	P	FDR_P	Bonferroni_P	diabetic_skin_mean	wound_mean	taxonomy
OTU_5109	32.86842101	9.86E-09	1.20E-07	5.52E-06	5499.073171	782.5735294	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__pettenkoferi
OTU_585	33.19830805	8.32E-09	1.11E-07	4.66E-06	10.68292683	0.941176471	k__Bacteria; p__Firmicutes; c__Bacilli; o__Gemellales; f__Gemellaceae; g__; s__
OTU_159	18.52335456	1.68E-05	3.98E-05	0.009398766	21.19512195	10.92647059	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__; g__; s__
OTU_1440	21.40751563	3.71E-06	1.17E-05	0.002079352	1.634146341	0.455882353	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae
OTU_27	21.41605477	3.70E-06	1.17E-05	0.002070112	12.95121951	3.220588235	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Aerococcus; s__
OTU_127	19.58415924	9.63E-06	2.54E-05	0.005390786	5.097560976	0.647058824	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Facklamia; s__
OTU_1576	29.21682677	6.47E-08	5.03E-07	3.62E-05	8.87804878	1.220588235	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Carnobacterium; s__
OTU_992	18.26084795	1.93E-05	4.46E-05	0.010787045	5.024390244	0.279411765	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
OTU_538	24.99547761	5.75E-07	2.51E-06	0.000321804	3.097560976	0.147058824	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc; s__mesenteroides
OTU_140	33.86411357	5.91E-09	8.70E-08	3.31E-06	11.26829268	0.235294118	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus; s__
OTU_6176	37.42698788	9.49E-10	2.53E-08	5.31E-07	33.19512195	1.676470588	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__
OTU_129	36.72744722	1.36E-09	3.05E-08	7.61E-07	60.34146341	8.985294118	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__
OTU_406	32.1405256	1.43E-08	1.59E-07	8.03E-06	23	3.264705882	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__
OTU_806	16.37300601	5.20E-05	0.000104042	0.029131676	1.87804878	0.029411765	k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales; f__Turicibacteraceae; g__Turicibacter; s__
OTU_39	26.50865584	2.62E-07	1.41E-06	0.000146922	13.58536585	0.161764706	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales
OTU_1071	19.45238878	1.03E-05	2.66E-05	0.005775771	3.902439024	3.147058824	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__1-68; s__
OTU_685	46.33207847	9.98E-12	1.12E-09	5.59E-09	26.48780488	0.367647059	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Anaerococcus; s__
OTU_290	43.08341032	5.25E-11	3.67E-09	2.94E-08	34.24390244	3.794117647	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Anaerococcus; s__
OTU_1446	32.12525188	1.45E-08	1.59E-07	8.09E-06	11.63414634	0.014705882	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Anaerococcus; s__
OTU_731	29.5734776	5.38E-08	4.50E-07	3.01E-05	28.53658537	49.76470588	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Anaerococcus; s__
OTU_320	17.63612965	2.67E-05	5.97E-05	0.014977687	29.80487805	16.48529412	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Anaerococcus; s__
OTU_851	35.06619158	3.19E-09	5.58E-08	1.78E-06	2.512195122	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Peptoniphilus; s__
OTU_1057	31.04818534	2.52E-08	2.48E-07	1.41E-05	10.3902439	2.382352941	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Peptoniphilus; s__
OTU_491	21.06087322	4.45E-06	1.35E-05	0.002491557	4.585365854	0.382352941	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__WAL_1855D; s__
OTU_1042	27.25953252	1.78E-07	1.08E-06	9.96E-05	4.487804878	0.029411765	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__
OTU_25	26.23729099	3.02E-07	1.55E-06	0.000169084	2.048780488	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__
OTU_623	18.09060797	2.11E-05	4.80E-05	0.01179572	21.2195122	0.632352941	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__
OTU_694	25.86265035	3.67E-07	1.82E-06	0.000205293	24.95121951	0.102941176	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae
OTU_26	28.38163258	9.96E-08	6.81E-07	5.58E-05	1.585365854	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
OTU_2132	25.35879441	4.76E-07	2.20E-06	0.000266547	4.926829268	0.014705882	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
OTU_149	27.56916894	1.52E-07	9.54E-07	8.49E-05	17.48780488	0.014705882	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__
OTU_203	18.35447488	1.83E-05	4.30E-05	0.010269714	5.195121951	0.220588235	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__gnavus
OTU_514	26.23693122	3.02E-07	1.55E-06	0.000169115	3	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
OTU_1982	23.18930052	1.47E-06	5.48E-06	0.000822147	5.536585366	0.014705882	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
OTU_890	19.06199006	1.27E-05	3.21E-05	0.007086252	2.829268293	0.264705882	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae
OTU_423	20.03561482	7.60E-06	2.10E-05	0.004256738	0.756097561	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Peptostreptococcus
OTU_660	28.38053243	9.97E-08	6.81E-07	5.58E-05	1.853658537	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
OTU_718	26.24124917	3.01E-07	1.55E-06	0.000168738	4.097560976	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
OTU_1826	25.40751239	4.64E-07	2.20E-06	0.0002599	5.756097561	0.014705882	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
OTU_755	34.27057126	4.80E-09	7.67E-08	2.69E-06	9.804878049	0.029411765	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii
OTU_641	35.92149178	2.05E-09	3.83E-08	1.15E-06	14.56097561	0.529411765	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
OTU_1344	20.03255673	7.61E-06	2.10E-05	0.004263551	1.341463415	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae
OTU_725	19.6722988	9.19E-06	2.49E-05	0.005147761	2.951219512	0.191176471	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Dialister; s__
OTU_542	20.03835067	7.59E-06	2.10E-05	0.004250653	3.024390244	0.514705882	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Phascolarctobacterium; s__
OTU_416	29.12589219	6.78E-08	5.20E-07	3.80E-05	44.82926829	9.470588235	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella; s__parvula
OTU_6290	25.05296124	5.58E-07	2.46E-06	0.000312351	3.365853659	0.029411765	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__
OTU_1087	22.06307892	2.64E-06	8.95E-06	0.001477481	2.853658537	0	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__
OTU_726	16.35196015	5.26E-05	0.000104829	0.029456969	4.12195122	0.25	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__
OTU_555	20.92854803	4.77E-06	1.43E-05	0.002669725	0.926829268	0.014705882	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Isosphaeraceae; g__; s__
OTU_79	38.59443589	5.22E-10	1.62E-08	2.92E-07	113.7073171	7.911764706	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__; s__
OTU_98	21.11150292	4.33E-06	1.33E-05	0.002426587	2.317073171	0.014705882	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__; s__
OTU_961	25.09078892	5.47E-07	2.43E-06	0.000306284	21	1.470588235	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas; s__diminuta
OTU_110	19.93782103	8.00E-06	2.20E-05	0.004480109	4.243902439	1.058823529	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Caulobacter
OTU_112	36.08100821	1.89E-09	3.79E-08	1.06E-06	11.07317073	0.205882353	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Mycoplana; s__
OTU_1357	23.28025566	1.40E-06	5.37E-06	0.000784169	1.43902439	0.588235294	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Mycoplana; s__
OTU_2907	20.19423031	7.00E-06	1.98E-05	0.003917964	5.902439024	0.161764706	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Mycoplana; s__
OTU_7435	15.47161846	8.38E-05	0.00015953	0.046901931	2.292682927	0.132352941	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Mycoplana; s__
OTU_163	22.88688101	1.72E-06	6.29E-06	0.000962195	1.975609756	0.147058824	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Phenylobacterium; s__
OTU_409	44.91677622	2.06E-11	1.64E-09	1.15E-08	8.170731707	0.205882353	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__; g__; s__
OTU_935	16.45572934	4.98E-05	0.000100678	0.027887693	1.268292683	0.073529412	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__; g__; s__
OTU_527	38.62103124	5.15E-10	1.62E-08	2.88E-07	13.73170732	0.102941176	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Aurantimonadaceae
OTU_3861	28.43340299	9.70E-08	6.81E-07	5.43E-05	3.902439024	0.147058824	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Aurantimonadaceae; g__; s__
OTU_901	26.24711977	3.00E-07	1.55E-06	0.000168225	9.365853659	0.676470588	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Aurantimonadaceae; g__; s__
OTU_1986	16.98627744	3.77E-05	7.99E-05	0.021084538	2.146341463	0.014705882	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Aurantimonadaceae; g__; s__
OTU_1083	18.48657436	1.71E-05	4.04E-05	0.009581901	9.536585366	0.044117647	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bartonellaceae; g__; s__
OTU_1551	29.25080169	6.36E-08	5.03E-07	3.56E-05	1.902439024	0.044117647	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__; s__
OTU_371	15.8605053	6.82E-05	0.000132586	0.038184693	0.829268293	0.044117647	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__; s__
OTU_328	24.03548644	9.46E-07	3.82E-06	0.000529628	1.268292683	0.044117647	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Balneimonas; s__
OTU_5715	21.48623851	3.56E-06	1.15E-05	0.001995711	4.634146341	0.382352941	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Balneimonas; s__
OTU_590	28.33948164	1.02E-07	6.87E-07	5.70E-05	3.12195122	0.102941176	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Devosia; s__
OTU_3264	22.47434854	2.13E-06	7.58E-06	0.001192625	4.975609756	0.220588235	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Devosia; s__
OTU_425	17.11884218	3.51E-05	7.59E-05	0.019662848	4.926829268	0.367647059	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Devosia; s__
OTU_332	18.36263586	1.83E-05	4.30E-05	0.01022582	2	0.044117647	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__
OTU_18	37.15252803	1.09E-09	2.78E-08	6.12E-07	9.341463415	0.279411765	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__; s__
OTU_581	30.39603172	3.52E-08	3.23E-07	1.97E-05	7.12195122	0.720588235	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__; s__
OTU_1096	25.89613649	3.60E-07	1.80E-06	0.000201762	19.04878049	0.367647059	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__; s__
OTU_477	33.13570248	8.59E-09	1.12E-07	4.81E-06	4.024390244	0.205882353	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium; s__adhaesivum
OTU_1424	18.27822548	1.91E-05	4.44E-05	0.010689086	0.463414634	0.029411765	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylocystaceae; g__; s__
OTU_172	24.03202035	9.47E-07	3.82E-06	0.000530582	1.048780488	0.058823529	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Phyllobacteriaceae
OTU_683	24.1570061	8.88E-07	3.68E-06	0.000497238	1.268292683	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Phyllobacteriaceae; g__; s__
OTU_306	38.97749295	4.29E-10	1.50E-08	2.40E-07	12.97560976	3.073529412	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Agrobacterium; s__
OTU_7275	24.54085109	7.28E-07	3.09E-06	0.000407405	3.243902439	0.058823529	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Agrobacterium; s__
OTU_1494	22.44139131	2.17E-06	7.58E-06	0.001213264	1.780487805	0.044117647	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Agrobacterium; s__
OTU_789	31.04255856	2.52E-08	2.48E-07	1.41E-05	8.756097561	0.485294118	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Agrobacterium; s__vitis
OTU_512	16.93859703	3.86E-05	8.13E-05	0.021620777	2.658536585	0.029411765	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Rhizobium; s__
OTU_74	33.89122262	5.83E-09	8.70E-08	3.26E-06	50.92682927	0.602941176	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__; s__
OTU_3765	29.31863509	6.14E-08	4.98E-07	3.44E-05	142.5121951	5.411764706	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__; s__
OTU_2284	21.87977825	2.90E-06	9.73E-06	0.00162555	83.87804878	3.073529412	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__; s__
OTU_259	20.6744696	5.44E-06	1.60E-05	0.003048473	18.63414634	1.735294118	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__; s__
OTU_333	34.35052194	4.60E-09	7.58E-08	2.58E-06	79.53658537	2.955882353	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Paracoccus
OTU_600	32.45191247	1.22E-08	1.43E-07	6.84E-06	72.95121951	2.514705882	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Paracoccus; s__
OTU_1322	36.56428042	1.48E-09	3.11E-08	8.27E-07	2.926829268	0.102941176	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rubellimicrobium; s__
OTU_2078	20.36965102	6.38E-06	1.85E-05	0.003574714	1.926829268	0.176470588	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rubellimicrobium; s__
OTU_211	18.0134658	2.19E-05	4.95E-05	0.012283481	4.609756098	0.676470588	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rubellimicrobium; s__
OTU_3822	16.62523252	4.55E-05	9.37E-05	0.025503018	1.829268293	0.161764706	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rubellimicrobium; s__
OTU_1606	15.98501341	6.38E-05	0.000125893	0.035753704	1.756097561	1.235294118	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rubellimicrobium; s__
OTU_295	31.61183939	1.88E-08	1.95E-07	1.05E-05	2.658536585	0.220588235	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__
OTU_661	22.81574236	1.78E-06	6.48E-06	0.000998476	0.853658537	0.308823529	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__
OTU_410	20.92015831	4.79E-06	1.43E-05	0.002681443	3.219512195	0.882352941	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__
OTU_133	19.64663139	9.32E-06	2.50E-05	0.005217375	7.365853659	1.970588235	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__Roseomonas
OTU_334	19.47880049	1.02E-05	2.64E-05	0.005696454	24.56097561	0.926470588	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__Skermanella; s__
OTU_113	23.86382221	1.03E-06	4.11E-06	0.000579022	2.951219512	0.323529412	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria
OTU_352	16.63075819	4.54E-05	9.37E-05	0.025428829	14.7804878	0.058823529	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__
OTU_1142	23.25024542	1.42E-06	5.38E-06	0.000796501	4.731707317	0.573529412	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae
OTU_120	26.92232147	2.12E-07	1.20E-06	0.000118607	5.731707317	3.338235294	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__; s__
OTU_507	19.56305862	9.73E-06	2.56E-05	0.005450656	4.536585366	0.941176471	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__; s__
OTU_2222	17.31836694	3.16E-05	6.92E-05	0.017702532	3.87804878	1	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__; s__
OTU_8110	17.20999584	3.35E-05	7.26E-05	0.018741564	1.219512195	0.117647059	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__; s__
OTU_405	21.44920773	3.63E-06	1.16E-05	0.002034626	2.292682927	0.367647059	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Kaistobacter; s__
OTU_8174	16.64163393	4.51E-05	9.36E-05	0.025283442	3	0.102941176	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Kaistobacter; s__
OTU_1457	17.0466807	3.65E-05	7.83E-05	0.02042436	4.268292683	1.102941176	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium
OTU_812	28.50284052	9.36E-08	6.81E-07	5.24E-05	11.7804878	1.911764706	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__
OTU_1581	28.3812429	9.96E-08	6.81E-07	5.58E-05	4	0.25	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__
OTU_915	22.65637432	1.94E-06	7.00E-06	0.001084812	34.65853659	7.455882353	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__
OTU_529	18.86128924	1.41E-05	3.47E-05	0.007872292	21.85365854	43.39705882	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__
OTU_609	18.76503391	1.48E-05	3.62E-05	0.008279778	19.6097561	6.5	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__
OTU_232	15.73426279	7.29E-05	0.000140273	0.040819416	2.219512195	0.161764706	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__wittichii
OTU_1240	16.61964372	4.57E-05	9.37E-05	0.025578276	4.195121951	0.411764706	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingopyxis; s__alaskensis
OTU_8499	16.45818091	4.97E-05	0.000100678	0.027851653	1.609756098	0.029411765	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Pigmentiphaga; s__
OTU_330	28.23601887	1.07E-07	7.11E-07	6.01E-05	17.43902439	2.147058824	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae
OTU_1595	22.20041193	2.46E-06	8.44E-06	0.001375478	2.414634146	1.132352941	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae
OTU_396	45.28659925	1.70E-11	1.59E-09	9.53E-09	8.048780488	0.617647059	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
OTU_793	18.74853463	1.49E-05	3.62E-05	0.008351723	2.682926829	0.308823529	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
OTU_60	28.01972818	1.20E-07	7.73E-07	6.72E-05	12.68292683	4.529411765	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Rubrivivax; s__
OTU_456	20.03221699	7.61E-06	2.10E-05	0.004264308	3	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__
OTU_1832	18.22843963	1.96E-05	4.52E-05	0.01097215	4.365853659	1.647058824	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__
OTU_171	39.52620704	3.24E-10	1.21E-08	1.81E-07	6.024390244	0.161764706	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Janthinobacterium; s__
OTU_37	27.18081323	1.85E-07	1.12E-06	0.000103761	71.95121951	31.60294118	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Janthinobacterium; s__
OTU_1268	17.03349095	3.67E-05	7.85E-05	0.020566721	10.6097561	0.014705882	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Janthinobacterium; s__
OTU_230	20.24481454	6.81E-06	1.94E-05	0.003815722	3.926829268	0.102941176	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Eikenella; s__
OTU_167	18.89092877	1.38E-05	3.43E-05	0.007750919	0.87804878	0.014705882	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__
OTU_451	21.01648189	4.55E-06	1.38E-05	0.002549956	4.146341463	0.014705882	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter; s__
OTU_447	33.48575403	7.18E-09	9.81E-08	4.02E-06	2.512195122	0.058823529	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Cellvibrio; s__
